artist,genres
Eduardo Luzquiños,No Genre
Nelly Furtado,No Genre
Tion Wayne,uk drill
Tion Wayne,drill
Tion Wayne,grime
Tion Wayne,uk grime
Tion Wayne,afroswing
Young Stoner Life,No Genre
DJ Rell,No Genre
50 Cent,east coast hip hop
50 Cent,old school hip hop
Fergie,No Genre
Kyary Pamyu Pamyu,j-pop
Kyary Pamyu Pamyu,shibuya-kei
Lilmar,No Genre
Michael Jackson,No Genre
The Jackson 5,motown
The Jackson 5,christmas
10k.Caash,No Genre
Gaten Matarazzo,No Genre
Y2K,No Genre
VGR,No Genre
Tierra Whack,alternative r&b
mxmtoon,bedroom pop
mxmtoon,indie pop
Kahoot!,No Genre
Valee,No Genre
Riton,house
K CAMP,No Genre
ZaeHD & CEO,No Genre
Megan Thee Stallion,No Genre
BeatKing,new orleans bounce
Saweetie,No Genre
Tiagz,dembow belico
Tiagz,electro corridos
SALES,bedroom pop
BENEE,No Genre
Puri,moombahton
Powfu,No Genre
KBFR,No Genre
Avocuddle,lo-fi hip hop
Avocuddle,lo-fi
monte booker,No Genre
Blu DeTiger,No Genre
Sam Fischer,No Genre
Alex Skrindo,No Genre
Vicetone,edm
Ashnikko,No Genre
Rontae Don't Play,No Genre
Conkarah,reggae
$wave,No Genre
Lil Darkie,trap metal
The Dance Queen Group,No Genre
Melanie Martinez,No Genre
L'Trimm,miami bass
Auntie Hammy,No Genre
Kid Francescoli,french indie pop
Special K,No Genre
Curtis Waters,No Genre
Arizona Zervas,No Genre
Surfaces,No Genre
JoeVille,No Genre
Yung Bae,vaporwave
Yung Bae,city pop
Yung Bae,nu disco
Surf Mesa,No Genre
Dixie,No Genre
Speed Gang,No Genre
Kaash Paige,No Genre
Yung Gravy,No Genre
tobi lou,No Genre
Jufu,No Genre
DripReport,No Genre
Peter Kuli,No Genre
iLOVEFRiDAY,No Genre
MadeinTYO,No Genre
Championxiii,No Genre
Chrishan,No Genre
swimcoach,No Genre
Haiti Babii,No Genre
Bhad Bhabie,No Genre
PUBLIC,No Genre
Matthew Wilder,No Genre
Vinny West,hyphy
girl in red,bedroom pop
Supa Dupa Humble,No Genre
Beach Bunny,No Genre
Paul Anka,adult standards
Peachy!,No Genre
LLusion,No Genre
B-Rock & The Bizz,miami bass
Regard,No Genre
Lucian Piane,No Genre
Healy,No Genre
Lonely God,No Genre
Eazy-E,gangster rap
Eazy-E,old school hip hop
Eazy-E,west coast hip hop
Eazy-E,g-funk
Cuco,bedroom pop
Mounika.,lo-fi beats
Kero Kero Bonito,No Genre
ABSRDST,No Genre
The Gregory Brothers,No Genre
Bill Wurtz,No Genre
Huncho,No Genre
Tessa Violet,No Genre
SIX,musicals
Trevor Daniel,No Genre
Bandingo YGNE,No Genre
Shokk,No Genre
Ali Gatie,No Genre
Mac DeMarco,indie
Mac DeMarco,lo-fi indie
Blanco Brown,country hip hop
Blanco Brown,country
The Boyboy West Coast,No Genre
Louie Zong,No Genre
Insane Clown Posse,horrorcore
Insane Clown Posse,rap rock
Chance the Rapper,No Genre
Savage Ga$p,trap metal
Mariah Carey,christmas
Jack Stauber,No Genre
Fly Project,europop
DJ Scheme,No Genre
KRYPTO9095,No Genre
Toby Fox,soundtrack
Engelwood,lo-fi beats
Engelwood,jazz beats
Still Woozy,bedroom pop
Stunna Girl,No Genre
Tyler Cassidy,No Genre
Limbo,No Genre
Killua the Pilgrim,No Genre
420 Unlovable,No Genre
Iceboy Ben,No Genre
Petit Biscuit,No Genre
Flo Milli,No Genre
Yuka Ueno,j-pop
kobasolo,j-pop
JY,j-pop
RADWIMPS,anime
RADWIMPS,j-pop
RADWIMPS,j-rock
Daoko,j-pop
Daoko,anime
Daoko,j-rock
7!!,anime
7!!,j-pop
LiSA,anime
LiSA,j-pop
LiSA,j-rock
Luna Haruna,anime
Luna Haruna,j-pop
Ikimonogakari,anime
Ikimonogakari,j-pop
Ikimonogakari,j-rock
Aqua Timez,anime
Aqua Timez,j-rock
Aqua Timez,j-pop
majiko,j-pop
majiko,anime
majiko,j-rock
back number,j-pop
back number,j-rock
KAWAII BOX,No Genre
Nogizaka46,j-pop
Nogizaka46,anime
Kenshi Yonezu,j-pop
Kenshi Yonezu,anime
Kenshi Yonezu,j-rock
Tate McRae,No Genre
The Vamps,No Genre
Clinton Kane,No Genre
Wallows,indie
Mimi Webb,No Genre
Clairo,bedroom pop
Alvaro Soler,No Genre
SR,uk drill
SR,drill
Central Cee,uk drill
Central Cee,drill
Central Cee,uk grime
Central Cee,grime
Fumez The Engineer,uk drill
Fumez The Engineer,drill
Fumez The Engineer,grime
Fumez The Engineer,uk grime
SoFaygo,rage rap
大橋彩香,anime
ARCANA PROJECT,anime
LIGHT ACLOUD,No Genre
SUDA MASAKI,j-pop
Hinatazaka46,j-pop
ClariS,anime
ClariS,j-pop
Kana Nishino,j-pop
Nulbarich,j-r&b
Nulbarich,city pop
Nulbarich,japanese indie
Nulbarich,j-pop
Superfly,j-pop
GReeeeN,j-pop
Aimyon,j-pop
Bank Band,j-pop
Bank Band,kayokyoku
Masayoshi Yamazaki,j-pop
Masayoshi Yamazaki,kayokyoku
Mr.Children,j-pop
Mr.Children,kayokyoku
Mr.Children,j-rock
AKB48,j-pop
AKB48,c-pop
Sukima Switch,j-pop
